image,label,board_id,embedding
preprocessed_data/game5_frame_000528_tile_row3_column7_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row4_column0_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row4_column1_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row4_column2_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row4_column3_class1.png,1,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row4_column4_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row4_column5_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row4_column6_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row4_column7_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row5_column0_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row5_column1_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row5_column2_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row5_column3_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row5_column4_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row5_column5_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row5_column6_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row5_column7_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row6_column0_class1.png,1,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row6_column1_class1.png,1,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row6_column2_class1.png,1,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row6_column3_class0.png,0,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row6_column4_class1.png,1,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row6_column5_class1.png,1,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row6_column6_class1.png,1,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row6_column7_class1.png,1,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row7_column0_class4.png,4,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row7_column1_class2.png,2,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row7_column2_class3.png,3,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row7_column3_class5.png,5,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row7_column4_class6.png,6,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row7_column5_class3.png,3,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row7_column6_class2.png,2,game5_frame_000528,
preprocessed_data/game5_frame_000528_tile_row7_column7_class4.png,4,game5_frame_000528,
preprocessed_data/game5_frame_000548_tile_row0_column0_class14.png,14,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row0_column1_class12.png,12,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row0_column2_class13.png,13,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row0_column3_class15.png,15,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row0_column4_class16.png,16,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row0_column5_class13.png,13,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row0_column6_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row0_column7_class14.png,14,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row1_column0_class11.png,11,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row1_column1_class11.png,11,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row1_column2_class11.png,11,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row1_column3_class11.png,11,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row1_column4_class11.png,11,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row1_column5_class11.png,11,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row1_column6_class11.png,11,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row1_column7_class11.png,11,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row2_column0_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row2_column1_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row2_column2_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row2_column3_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row2_column4_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row2_column5_class12.png,12,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row2_column6_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row2_column7_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row3_column0_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row3_column1_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row3_column2_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row3_column3_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row3_column4_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row3_column5_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row3_column6_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row3_column7_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row4_column0_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row4_column1_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row4_column2_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row4_column3_class1.png,1,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row4_column4_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row4_column5_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row4_column6_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row4_column7_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row5_column0_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row5_column1_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row5_column2_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row5_column3_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row5_column4_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row5_column5_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row5_column6_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row5_column7_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row6_column0_class1.png,1,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row6_column1_class1.png,1,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row6_column2_class1.png,1,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row6_column3_class0.png,0,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row6_column4_class1.png,1,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row6_column5_class1.png,1,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row6_column6_class1.png,1,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row6_column7_class1.png,1,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row7_column0_class4.png,4,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row7_column1_class2.png,2,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row7_column2_class3.png,3,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row7_column3_class5.png,5,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row7_column4_class6.png,6,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row7_column5_class3.png,3,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row7_column6_class2.png,2,game5_frame_000548,
preprocessed_data/game5_frame_000548_tile_row7_column7_class4.png,4,game5_frame_000548,
preprocessed_data/game5_frame_000584_tile_row0_column0_class14.png,14,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row0_column1_class12.png,12,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row0_column2_class13.png,13,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row0_column3_class15.png,15,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row0_column4_class16.png,16,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row0_column5_class13.png,13,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row0_column6_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row0_column7_class14.png,14,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row1_column0_class11.png,11,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row1_column1_class11.png,11,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row1_column2_class11.png,11,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row1_column3_class11.png,11,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row1_column4_class11.png,11,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row1_column5_class11.png,11,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row1_column6_class11.png,11,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row1_column7_class11.png,11,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row2_column0_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row2_column1_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row2_column2_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row2_column3_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row2_column4_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row2_column5_class12.png,12,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row2_column6_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row2_column7_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row3_column0_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row3_column1_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row3_column2_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row3_column3_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row3_column4_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row3_column5_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row3_column6_class3.png,3,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row3_column7_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row4_column0_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row4_column1_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row4_column2_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row4_column3_class1.png,1,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row4_column4_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row4_column5_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row4_column6_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row4_column7_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row5_column0_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row5_column1_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row5_column2_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row5_column3_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row5_column4_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row5_column5_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row5_column6_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row5_column7_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row6_column0_class1.png,1,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row6_column1_class1.png,1,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row6_column2_class1.png,1,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row6_column3_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row6_column4_class1.png,1,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row6_column5_class1.png,1,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row6_column6_class1.png,1,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row6_column7_class1.png,1,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row7_column0_class4.png,4,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row7_column1_class2.png,2,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row7_column2_class0.png,0,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row7_column3_class5.png,5,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row7_column4_class6.png,6,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row7_column5_class3.png,3,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row7_column6_class2.png,2,game5_frame_000584,
preprocessed_data/game5_frame_000584_tile_row7_column7_class4.png,4,game5_frame_000584,
preprocessed_data/game5_frame_000664_tile_row0_column0_class14.png,14,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row0_column1_class12.png,12,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row0_column2_class13.png,13,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row0_column3_class15.png,15,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row0_column4_class16.png,16,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row0_column5_class13.png,13,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row0_column6_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row0_column7_class14.png,14,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row1_column0_class11.png,11,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row1_column1_class11.png,11,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row1_column2_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row1_column3_class11.png,11,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row1_column4_class11.png,11,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row1_column5_class11.png,11,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row1_column6_class11.png,11,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row1_column7_class11.png,11,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row2_column0_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row2_column1_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row2_column2_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row2_column3_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row2_column4_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row2_column5_class12.png,12,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row2_column6_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row2_column7_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row3_column0_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row3_column1_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row3_column2_class11.png,11,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row3_column3_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row3_column4_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row3_column5_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row3_column6_class3.png,3,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row3_column7_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row4_column0_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row4_column1_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row4_column2_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row4_column3_class1.png,1,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row4_column4_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row4_column5_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row4_column6_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row4_column7_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row5_column0_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row5_column1_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row5_column2_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row5_column3_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row5_column4_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row5_column5_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row5_column6_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row5_column7_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row6_column0_class1.png,1,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row6_column1_class1.png,1,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row6_column2_class1.png,1,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row6_column3_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row6_column4_class1.png,1,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row6_column5_class1.png,1,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row6_column6_class1.png,1,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row6_column7_class1.png,1,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row7_column0_class4.png,4,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row7_column1_class2.png,2,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row7_column2_class0.png,0,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row7_column3_class5.png,5,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row7_column4_class6.png,6,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row7_column5_class3.png,3,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row7_column6_class2.png,2,game5_frame_000664,
preprocessed_data/game5_frame_000664_tile_row7_column7_class4.png,4,game5_frame_000664,
preprocessed_data/game5_frame_000724_tile_row0_column0_class14.png,14,game5_frame_000724,
preprocessed_data/game5_frame_000724_tile_row0_column1_class12.png,12,game5_frame_000724,
preprocessed_data/game5_frame_000724_tile_row0_column2_class13.png,13,game5_frame_000724,
preprocessed_data/game5_frame_000724_tile_row0_column3_class15.png,15,game5_frame_000724,
preprocessed_data/game5_frame_000724_tile_row0_column4_class16.png,16,game5_frame_000724,
